x,y,z,pitch,yaw,roll
x,y,z,pitch,yaw,roll
-91.69085693359375,-19.73530387878418,-0.14584694802761078,-0.6876155734062195,-93.48358154296875,0.039709415286779404
-91.68970489501953,-19.77935791015625,-0.14638574421405792,-0.6893914341926575,-93.318115234375,0.036305539309978485
-91.68849182128906,-19.82415008544922,-0.14691539108753204,-0.6932709813117981,-93.15059661865234,0.03262033313512802
-91.68712615966797,-19.871986389160156,-0.14749515056610107,-0.6967748999595642,-92.97586822509766,0.028551766648888588
-91.68584442138672,-19.920013427734375,-0.14805780351161957,-0.6982092261314392,-92.81109619140625,0.02526823803782463
-91.68436431884766,-19.98675537109375,-0.14893881976604462,-0.6999850869178772,-92.60468292236328,0.024472953751683235
-91.68331909179688,-20.05141830444336,-0.14973680675029755,-0.7007090449333191,-92.43231201171875,0.025449587032198906
-91.68275451660156,-20.110958099365234,-0.15051209926605225,-0.706453263759613,-92.29802703857422,0.027572955936193466
-91.68244934082031,-20.18343734741211,-0.15146207809448242,-0.7140142917633057,-92.15912628173828,0.028378784656524658
-91.68255615234375,-20.24843406677246,-0.15224677324295044,-0.7193281650543213,-92.0581283569336,0.02934384159743786
-91.68284606933594,-20.307323455810547,-0.15300464630126953,-0.722920835018158,-91.9793930053711,0.028905285522341728
-91.68329620361328,-20.373140335083008,-0.1538299322128296,-0.7258577942848206,-91.90098571777344,0.027527550235390663
-91.6837387084961,-20.43564224243164,-0.15466630458831787,-0.7278454303741455,-91.82928466796875,0.02526186592876911
-91.68406677246094,-20.499292373657227,-0.1554996222257614,-0.7293070554733276,-91.7550048828125,0.022527359426021576
-91.68416595458984,-20.570215225219727,-0.1563863903284073,-0.730468213558197,-91.66405487060547,0.01878737285733223
-91.68391418457031,-20.63530921936035,-0.15720854699611664,-0.7543943524360657,-91.57119750976562,0.017413340508937836
-91.68357849121094,-20.686687469482422,-0.1578146368265152,-0.7701720595359802,-91.48831176757812,0.017190363258123398
-91.68333435058594,-20.729095458984375,-0.1583511382341385,-0.7728290557861328,-91.42757415771484,0.01741352118551731
-91.6832046508789,-20.766132354736328,-0.15885737538337708,-0.7712444067001343,-91.38622283935547,0.01786869764328003
-91.68317413330078,-20.813749313354492,-0.1594531387090683,-0.7637926936149597,-91.32759857177734,0.017682021483778954
-91.68314361572266,-20.85833740234375,-0.1600591242313385,-0.756675660610199,-91.28042602539062,0.016780436038970947
-91.68310546875,-20.907941818237305,-0.16067929565906525,-0.7476187944412231,-91.23400115966797,0.01513277180492878
-91.68302154541016,-20.9552001953125,-0.161317840218544,-0.7416355609893799,-91.18453979492188,0.013724921271204948
-91.68289947509766,-21.0015869140625,-0.16190509498119354,-0.7365675568580627,-91.13601684570312,0.012450061738491058
-91.68269348144531,-21.05752182006836,-0.1626177579164505,-0.7309531569480896,-91.072509765625,0.010988026857376099
-91.68238830566406,-21.125757217407227,-0.16350653767585754,-0.7272989749908447,-91.00177764892578,0.009595801122486591
-91.68213653564453,-21.179916381835938,-0.16421805322170258,-0.7265886664390564,-90.94852447509766,0.009178990498185158
-91.68196105957031,-21.23768424987793,-0.1649048775434494,-0.722688615322113,-90.90245819091797,0.009104698896408081
-91.68193054199219,-21.295413970947266,-0.1656811535358429,-0.721800684928894,-90.86164093017578,0.009712286293506622
-91.68196868896484,-21.3572998046875,-0.16643553972244263,-0.7203049063682556,-90.82006072998047,0.009452073834836483
-91.68191528320312,-21.40800666809082,-0.16711992025375366,-0.7207010388374329,-90.79084014892578,0.008048733696341515
-91.68167877197266,-21.465801239013672,-0.1678433120250702,-0.7205439209938049,-90.744384765625,0.005693359300494194
-91.68115234375,-21.52791976928711,-0.1686507910490036,-0.7193623185157776,-90.68486022949219,0.002936465432867408
-91.68038940429688,-21.591285705566406,-0.16945914924144745,-0.7166438698768616,-90.61737060546875,0.0007127699791453779
-91.6795425415039,-21.648529052734375,-0.17020925879478455,-0.7139869332313538,-90.54955291748047,-0.0008239555172622204
-91.67829895019531,-21.720792770385742,-0.1711474508047104,-0.7107836008071899,-90.46472930908203,-0.002593990648165345
-91.67703247070312,-21.78496551513672,-0.17190687358379364,-0.706268846988678,-90.38672637939453,-0.004302972462028265
-91.67515563964844,-21.86935043334961,-0.17298829555511475,-0.701569676399231,-90.27922821044922,-0.006408691871911287
-91.67240142822266,-21.97699737548828,-0.17439952492713928,-0.6991859078407288,-90.13748168945312,-0.008789080195128918
-91.6695327758789,-22.077566146850586,-0.17570318281650543,-0.6983936429023743,-90.00176239013672,-0.01098626758903265
-91.66699981689453,-22.159069061279297,-0.17670989036560059,-0.6975398659706116,-89.89098358154297,-0.012634278275072575
-91.66400909423828,-22.250234603881836,-0.17789240181446075,-0.6960440278053284,-89.76727294921875,-0.014404278248548508
-91.66047668457031,-22.352054595947266,-0.1791665405035019,-0.6942682266235352,-89.63150787353516,-0.016082806512713432
-91.65673828125,-22.457454681396484,-0.18057318031787872,-0.6928953528404236,-89.49808502197266,-0.01705935224890709
-91.65250396728516,-22.575660705566406,-0.1820649802684784,-0.6922874450683594,-89.35971069335938,-0.017639154568314552
-91.6485366821289,-22.68680191040039,-0.18350453674793243,-0.692410409450531,-89.24126434326172,-0.017913823947310448
-91.644775390625,-22.792226791381836,-0.1848212629556656,-0.6930797696113586,-89.13848876953125,-0.01821896620094776
-91.64080810546875,-22.906625747680664,-0.18629448115825653,-0.6944867372512817,-89.04159545898438,-0.017791733145713806
